Date,FeSO4,CFeO,C,,
2/10/2024,325,,1000,,
2/11/2024,,,,,
2/12/2024,325,,1000,,
2/13/2024,,,,,
2/14/2024,,,,,
2/15/2024,325,,1000,,
2/16/2024,,,,,
2/17/2024,325,,,,
2/18/2024,,,,,
2/19/2024,325,,,,
2/20/2024,,,,,
2/21/2024,325,,1000,,
2/22/2024,,,,,
2/23/2024,325,,1000,,
2/24/2024,,,,,
2/25/2024,,,,,
2/26/2024,325,,1000,,
2/27/2024,,,,,
2/28/2024,325,,1000,,
2/29/2024,,,,,
3/1/2024,325,,1000,,
3/2/2024,,,,,
3/3/2024,,,,,
3/4/2024,325,,1000,,
3/5/2024,,,,,
3/6/2024,325,,1000,,
3/7/2024,,,,,
3/8/2024,325,,1000,,
3/9/2024,,,,,
3/10/2024,,,,,
3/11/2024,,,,,
3/12/2024,325,,1000,,
3/13/2024,,,,,
3/14/2024,,,,,
3/15/2024,325,,1000,,
3/16/2024,,,,,
3/17/2024,325,,1000,,
3/18/2024,,,,,
3/19/2024,325,,1000,,
3/20/2024,,,,,
3/21/2024,325,,1000,,
3/22/2024,,,,,
3/23/2024,325,,1000,,
3/24/2024,,,,,
3/25/2024,,,,,
3/26/2024,,,,,
3/27/2024,,,,,
3/28/2024,,,,,
3/29/2024,325,,1000,,
3/30/2024,,,,,
3/31/2024,,,,,
4/1/2024,325,,1000,,
4/2/2024,,,,,
4/3/2024,,,,,
4/4/2024,,,,,
4/5/2024,325,,1000,,
4/6/2024,,,,,
4/7/2024,,,,,
4/8/2024,325,,1000,,
4/9/2024,,,,,
4/10/2024,,,,,
4/11/2024,,,,,
4/12/2024,325,,1000,,
4/13/2024,,,,,
4/14/2024,,,,,
4/15/2024,325,,1000,,
4/16/2024,,,,,
4/17/2024,,,,,
4/18/2024,,,,,
4/19/2024,,,,,
4/20/2024,,,,,
4/21/2024,,,,,
4/22/2024,,,,,
4/23/2024,,,,,
4/24/2024,,,,,
4/25/2024,,,,,
4/26/2024,,,,,
4/27/2024,,,,,
4/28/2024,,,,,
4/29/2024,,,,,
4/30/2024,,,,,
5/1/2024,,,,,
5/2/2024,,,,,
5/3/2024,,,,,
